% Copyright (C) 2001-2018 Artifex Software, Inc.
% All Rights Reserved.
%
% This software is provided AS-IS with no warranty, either express or
% implied.
%
% This software is distributed under license and may not be copied,
% modified or distributed except as expressly authorized under the terms
% of the license contained in the file LICENSE in this distribution.
%
% Refer to licensing information at http://www.artifex.com or contact
% Artifex Software, Inc.,  1305 Grant Avenue - Suite 200, Novato,
% CA 94945, U.S.A., +1(415)492-9861, for further information.
%
%
% Unicode Decoding
% Maps PS and TT names to Unicode UTF-16.

% The file is in tabular format, with columns separated by exactly 2 spaces.
% The 1st column is the Unicode value assigned to all names in that row.
% The other columns contain glyph names based on the source these names
% came from; if a column contains more than 1 name, these are separated by
% exactly one space. So, WHITESPACE IS SIGNIFICANT (for documenting/editing purposes).
%
% The sources of glyph names in the current version of this file are, in column order:
%
% [AGLFN] Adobe Glyph List For New Fonts v1.7 dated November 6, 2008
%         http://www.adobe.com/devnet-archive/opentype/archives/aglfn.txt
% [AGLv2] Adobe Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/glyphlist.txt
%         - this list is a strict superset of [AGLFN], and only names that are not
%           already in [AGLFN] are present in this column.
%         - mappings to sequences of UVs (decomposed ligatures) are
%           commented out with a "%L#" at the beginning of the line.
% [ZDGL2] ITC Zapf Dingbats Glyph List v2.0 dated September 20, 2002
%         http://www.adobe.com/devnet-archive/opentype/archives/zapfdingbats.txt
% [R9887] All names that were present in SVN revision 9887 of this file and
%         are not included in any of the lists above.
%
%/Unicode         % resource name
%6514             % # of names
%/ParseDecoding /ProcSet findresource /Parse get exec
%
16#0000        .null NUL
16#21CD    arrowleftdblstroke    arrowdblleftnot
16#21CE        arrowdbllongbothnot
16#21CF    arrowrightdblstroke    arrowdblrightnot
16#21D0  arrowdblleft  arrowleftdbl
16#21D1  arrowdblup
16#21D2  arrowdblright  dblarrowright
16#21D3  arrowdbldown
16#21D4  arrowdblboth  dblarrowleft    arrowdbllongboth
16#21D5        arrowdbllongbothv
16#21D6        arrowdblnw
16#21D7        arrowdblne
16#21D8        arrowdblse
16#21D9        arrowdblsw
16#21DA        arrowtripleleft
16#21DB        arrowtripleright
16#21DC        arrowsquiggleleft
16#21DD        arrowsquiggleright
16#21DE    pageup
16#21DF    pagedown
16#21E0    arrowdashleft
16#21E1    arrowdashup
16#21E2    arrowdashright
16#21E3    arrowdashdown
16#21E4    arrowtableft
16#21E5    arrowtabright
16#21E6    arrowleftwhite    arrowopenleft
16#21E7    arrowupwhite    arrowopenup
16#21E8    arrowrightwhite    arrowopenright
16#21E9    arrowdownwhite    arrowopendown
16#21EA    capslock
16#2200  universal  forall
16#2201        complement
16#2202  partialdiff
16#2203  existential  thereexists
16#2204        notexistential
16#2205  emptyset
16#2206  Delta  increment
16#2207  gradient  nabla
16#2208  element
16#2209  notelement  notelementof
16#220A        elementsmall smallelement
16#220B  suchthat      owner contains
16#220C    notcontains    notowner notsuchthat
16#220D        ownersmall smallcontains
16#220E        eop endofproof
16#220F  product
16#2210        coproduct
16#2211  summation
16#2212  minus
16#2213    minusplus
16#2214        dotplus
16#2215    divisionslash    slashmath
16#2216        setminus backslashmath
16#2217  asteriskmath
16#2218        openbullet1 ringmath
16#2219    bulletoperator    productdot bulletmath
16#221A  radical      squareroot
16#221B        cuberoot
16#221C        fourthroot
16#221D  proportional
16#221E  infinity
16#221F  orthogonal  rightangle
16#2220  angle
16#2221        measuredangle
16#2222        sphericalangle
16#2223    divides    bar1
16#2224        notbar notdivides
16#2225    parallel    bardbl2
16#2226    notparallel    notbardbl
16#2227  logicaland
16#2228  logicalor
16#2229  intersection
16#222A  union
16#222B  integral
16#222C    dblintegral    integraldbl doubleintegral
16#222D        tripleintegral integraltrpl
16#222E    contourintegral    contintegral
16#222F        surfintegral surfaceintegral
16#2230        volintegral volumeintegral
16#2231        clwintegral
16#2232        clwcontintegral
16#2233        cclwcontintegral
16#2234  therefore
16#2235    because
16#2236    ratio
16#2237    proportion
16#2238        dotminus
16#2239        excess
16#223A        geomproportion proportiongeom
16#223B        homothetic
16#223C  similar  tildeoperator    tildemath
16#223D    reversedtilde    revsimilar tildereversed
16#223E        Sinvlazy lazysinv
16#223F        sine sinewave
16#2240        wreathproduct
16#2241        notsimilar
16#2242        minustilde
16#2243    asymptoticallyequal    similarequal approxequalalt asymptequal
16#2244        notasymptequal
16#2245  congruent  approximatelyequal    approxorequal
16#2246        approxnotequal
16#2247        notapproxequal
16#2248  approxequal      almostequal
16#2249        notalmostequal
16#224A        almostorequal
16#224B        tildetrpl
16#224C    allequal
16#224D        equivasymptotic
16#224E        geomequivalent
16#224F        difference
16#2250    approaches    approachlimit
16#2251    geometricallyequal    geomequal
16#2252    approxequalorimage
16#2253    imageorapproximatelyequal    imageorapproxequal
16#2254        colonequal
16#2255        equalcolon
16#2256        ringinequal
16#2257        ringequal
16#2258        corresponds
16#2259        estimates
16#225A        equiangular
16#225B        starequal
16#225C        deltaequal
16#225D        definequal
16#225E        measurequal
16#225F        questionequal
16#2260  notequal
16#2261  equivalence
16#2262    notidentical    notequivalence
16#2263        strictequivalence
16#2264  lessequal
16#2265  greaterequal
16#2266    lessoverequal    lessdblequal
16#2267    greateroverequal    greaterdblequal
16#2268        lessnotdblequal
16#2269        greaternotdblequal
16#226A    muchless    lessmuch
16#226B    muchgreater    greatermuch
16#226C        between
16#226D        notequivasymptotic
16#226E    notless
16#226F    notgreater
16#2270    notlessnorequal    notlessequal1
16#2271    notgreaternorequal    notgreaterequal1
16#2272    lessorequivalent    lessequivlnt
16#2273    greaterorequivalent    greaterequivlnt
16#2274        notlessequivlnt
16#2275        notgreaterequivlnt
16#2276    lessorgreater
16#2277    greaterorless
16#2278        notlessgreater
16#2279    notgreaternorless    notgreaterless
16#227A    precedes
16#227B    succeeds    follows
16#227C        precedesequal1
16#227D        followsequal1
16#227E        precedequivlnt
16#227F        followsequivlnt
16#2280    notprecedes    notpreceeds
16#2281    notsucceeds    notfollows
16#2282  propersubset  subset
16#2283  propersuperset  superset
16#2284  notsubset      notpropersubset
16#2285    notsuperset    notpropersuperset
16#2286  reflexsubset  subsetorequal
16#2287  reflexsuperset  supersetorequal
16#2288        notreflexsubset
16#2289        notreflexsuperset
16#228A    subsetnotequal
16#228B    supersetnotequal
16#228C        multiset
16#228D        multiplymultiset
16#228E        unionmulti
16#228F        squareimage
16#2290        squareoriginal
16#2291        subsetsqequal
16#2292        supersetsqequal
16#2293        intersectionsq
16#2294        unionsq
16#2295  circleplus  pluscircle
16#2296    minuscircle    circleminus
16#2297  circlemultiply  timescircle
16#2298        circledivide
16#2299    circleot    circledot
16#229A        circlering
16#229B        circleasterisk
16#229C        circleequal
16#229D        circleminus1
16#229E        squareplus
16#229F        squareminus
16#22A0        squaremultiply
16#22A1        squaredot
16#22A2        turnstileleft
16#22A3    tackleft    turnstileright
16#22A4    tackdown    latticetop
16#22A5  perpendicular
16#22A6        assertion
16#22A7        truestate
16#22A8        satisfy
16#22A9        force
16#22AA        tacktrpl
16#22AB        forceextr
16#22AC        notturnstileleft
16#22AD        notsatisfy
16#22AE        notforce
16#22AF        notforceextr
16#22B0        lowerrank
16#22B1        higherrank
16#22B2        triangleright
16#22B3        triangleleft
16#22B4        triangleftequal
16#22B5        triangrightequal
16#22B6        original
16#22B7        image
16#22B8        multimap
16#22B9        hermitconjmatrix
16#22BA        intercal
16#22BB        orunderscore xor
16#22BC        nand
16#22BD        nor
16#22BE        rightanglearc
16#22BF    righttriangle
16#22C0        narylogicaland
16#22C1        narylogicalor
16#22C2        naryintersection
16#22C3        naryunion
16#22C4        diamondmath
16#22C5  dotmath
16#22C6        star
16#22C7        divideonmultiply
16#22C8        bowtie
16#22C9        multicloseleft
16#22CA        multicloseright
16#22CB        multiopenleft
16#22CC        multiopenright
16#22CD        revasymptequal
16#22CE    curlyor    curlor
16#22CF    curlyand    curland
16#22D0        subsetdbl
16#22D1        supersetdbl
16#22D2        uniondbl
16#22D3        intersectiondbl
16#22D4        fork
16#22D5        equalparallel
16#22D6        lessdot
16#22D7        greaterdot
16#22D8        verymuchless
16#22D9        verymuchgreater
16#22DA    lessequalorgreater    lessequalgreater
16#22DB    greaterequalorless    greaterequalless
16#22DC        equalless
16#22DD        equalgreater
16#22DE        equalprecedes1
16#22DF        equalfollows1
16#22E0        preceedsnotequal
16#22E1        followsnotequal
16#22E2        notsubsetsqequal
16#22E3        notsupersetsqequal
16#22E4        sqimageornotequal
16#22E5        sqoriginornotequal
16#22E6        lessnotequivlnt
16#22E7        greaternotequivlnt
16#22E8        preceedsnotsimilar
16#22E9        followsnotequivlnt
16#22EA        nottriangleleft
16#22EB        nottriangleright
16#22EC        nottriangleleftequal
16#22ED        nottrianglerightequal
16#22EE    ellipsisvertical    vertellipsis
16#22EF        midhorizellipsis
16#22F0        upslopeellipsis
16#22F1        downslopeellipsis
16#2302  house      SM790000
16#2303    control
16#2305    projective
16#2306        perspcorrespond
16#2308        ceilingleft
16#2309        ceilingright
16#230A        floorleft
16#230B        floorright
16#2310  revlogicalnot  logicalnotreversed
16#2312    arc
16#2318    propellor
16#2320  integraltp  integraltop    SS260000
16#2321  integralbt  integralbottom    SS270000
16#2322        slurabove
16#2323        slurbelow
16#2325    option
16#2326    deleteright
16#2327    clear
16#2329  angleleft
16#232A  angleright
16#232B    deleteleft
16#2423    blank
16#2460    onecircle  a120
16#2461    twocircle  a121
16#2462    threecircle  a122
16#2463    fourcircle  a123
16#2464    fivecircle  a124
16#2465    sixcircle  a125
16#2466    sevencircle  a126
16#2467    eightcircle  a127
16#2468    ninecircle  a128
16#2469    tencircle  a129
16#246A    elevencircle
16#246B    twelvecircle
16#246C    thirteencircle
16#246D    fourteencircle
16#246E    fifteencircle
16#246F    sixteencircle
16#2470    seventeencircle
16#2471    eighteencircle
16#2472    nineteencircle
16#2473    twentycircle
16#2474    oneparen
16#2475    twoparen
16#2476    threeparen
16#2477    fourparen
16#2478    fiveparen
16#2479    sixparen
16#247A    sevenparen
16#247B    eightparen
16#247C    nineparen
16#247D    tenparen
16#247E    elevenparen
16#247F    twelveparen
16#2480    thirteenparen
16#2481    fourteenparen
16#2482    fifteenparen
16#2483    sixteenparen
16#2484    seventeenparen
16#2485    eighteenparen
16#2486    nineteenparen
16#2487    twentyparen
16#2488    oneperiod
16#2489    twoperiod
16#248A    threeperiod
16#248B    fourperiod
16#248C    fiveperiod
16#248D    sixperiod
16#248E    sevenperiod
16#248F    eightperiod
16#2490    nineperiod
16#2491    tenperiod
16#2492    elevenperiod
16#2493    twelveperiod
16#2494    thirteenperiod
16#2495    fourteenperiod
16#2496    fifteenperiod
16#2497    sixteenperiod
16#2498    seventeenperiod
16#2499    eighteenperiod
16#249A    nineteenperiod
16#249B    twentyperiod
16#249C    aparen
16#249D    bparen
16#249E    cparen
16#249F    dparen
16#24A0    eparen
16#24A1    fparen
16#24A2    gparen
16#24A3    hparen
16#24A4    iparen
16#24A5    jparen
16#24A6    kparen
16#24A7    lparen
16#24A8    mparen
16#24A9    nparen
16#24AA    oparen
16#24AB    pparen
16#24AC    qparen
16#24AD    rparen
16#24AE    sparen
16#24AF    tparen
16#24B0    uparen
16#24B1    vparen
16#24B2    wparen
16#24B3    xparen
16#24B4    yparen
16#24B5    zparen
16#24B6    Acircle
16#24B7    Bcircle
16#24B8    Ccircle
16#24B9    Dcircle
16#24BA    Ecircle
16#24BB    Fcircle
16#24BC    Gcircle
16#24BD    Hcircle
16#24BE    Icircle
16#24BF    Jcircle
16#24C0    Kcircle
16#24C1    Lcircle
16#24C2    Mcircle
16#24C3    Ncircle
16#24C4    Ocircle
16#24C5    Pcircle
16#24C6    Qcircle
16#24C7    Rcircle
16#24C8    Scircle
16#24C9    Tcircle
16#24CA    Ucircle
16#24CB    Vcircle
16#24CC    Wcircle
16#24CD    Xcircle
16#24CE    Ycircle
16#24CF    Zcircle
16#24D0    acircle
16#24D1    bcircle
16#24D2    ccircle
16#24D3    dcircle
16#24D4    ecircle
16#24D5    fcircle
16#24D6    gcircle
16#24D7    hcircle
16#24D8    icircle
16#24D9    jcircle
16#24DA    kcircle
16#24DB    lcircle
16#24DC    mcircle
16#24DD    ncircle
16#24DE    ocircle
16#24DF    pcircle
16#24E0    qcircle
16#24E1    rcircle
16#24E2    scircle
16#24E3    tcircle
16#24E4    ucircle
16#24E5    vcircle
16#24E6    wcircle
16#24E7    xcircle
16#24E8    ycircle
16#24E9    zcircle
16#2500  SF100000
16#2502  SF110000
16#250A        250a
16#250B        250b
16#250C  SF010000      250c
16#250D        250d
16#250E        250e
16#250F        250f
16#2510  SF030000
16#2514  SF020000
16#2518  SF040000
16#251A        251a
16#251B        251b
16#251C  SF080000      251c
16#251D        251d
16#251E        251e
16#251F        251f
16#2524  SF090000
16#252A        252a
16#252B        252b
16#252C  SF060000      252c
16#252D        252d
16#252E        252e
16#252F        252f
16#2534  SF070000
16#253A        253a
16#253B        253b
16#253C  SF050000      253c
16#253D        253d
16#253E        253e
16#253F        253f
16#254A        254a
16#254B        254b
16#254C        254c
16#254D        254d
16#254E        254e
16#254F        254f
16#2550  SF430000
16#2551  SF240000
16#2552  SF510000
16#2553  SF520000
16#2554  SF390000
16#2555  SF220000
16#2556  SF210000
16#2557  SF250000
16#2558  SF500000
16#2559  SF490000
16#255A  SF380000      255a
16#255B  SF280000      255b
16#255C  SF270000      255c
16#255D  SF260000      255d
16#255E  SF360000      255e
16#255F  SF370000      255f
16#2560  SF420000
16#2561  SF190000
16#2562  SF200000
16#2563  SF230000
16#2564  SF470000
16#2565  SF480000
16#2566  SF410000
16#2567  SF450000
16#2568  SF460000
16#2569  SF400000
16#256A  SF540000      256a
16#256B  SF530000      256b
16#256C  SF440000      256c
16#256D        256d
16#256E        256e
16#256F        256f
16#257A        257a
16#257B        257b
16#257C        257c
16#257D        257d
16#257E        257e
16#257F        257f
16#2580  upblock      SF600000
16#2581        dneightblock
16#2582        dnquarterblock
16#2583        dnthreeeighthblock
16#2584  dnblock      SF570000
16#2585        dnfiveeighthblock
16#2586        dnthreequarterblock
16#2587        dnseveneighthblock
16#2588  block      SF610000
16#2589        lfseveneighthblock
16#258A        lfthreequarterblock
16#258B        lffiveeighthblock
16#258C  lfblock      SF580000
16#258D        lfthreeeighthblock
16#258E        lfquarterblock
16#258F        lfeighthblock
16#2590  rtblock      SF590000
16#2591  ltshade  shadelight    SF140000
16#2592  shade  shademedium    SF150000
16#2593  dkshade  shadedark    SF160000
16#2594        upeighthblock
16#2595        rteighthblock
16#25A0  filledbox  blacksquare  a73  SM470000
16#25A1  H22073  whitesquare    box
16#25A2        boxrounded
16#25A3    squarewhitewithsmallblack    boxnested
16#25A4    squarehorizontalfill    boxhorizhatch
16#25A5    squareverticalfill    boxverthatch
16#25A6    squareorthogonalcrosshatchfill    boxcrosshatch
16#25A7    squareupperlefttolowerrightfill    boxleftdiaghatch
16#25A8    squareupperrighttolowerleftfill    boxrtdiaghatch
16#25A9    squarediagonalcrosshatchfill    boxcrossdiaghatch
16#25AA  H18543  blacksmallsquare    smallboxfilled
16#25AB  H18551  whitesmallsquare    smallbox
16#25AC  filledrect  blackrectangle    SM700000
16#25AD        rectangle
16#25AE        filledvertrect
16#25AF        vertrectangle
16#25B0        filledparallelogram
16#25B1        parallelogram
16#25B2  triagup  blackuppointingtriangle  a76  SM600000
16#25B3    whiteuppointingtriangle    triangle
16#25B4    blackuppointingsmalltriangle    smalltrianglesld
16#25B5    whiteuppointingsmalltriangle    smalltriangle
16#25B6    blackrightpointingtriangle    trianglerightsld1
16#25B7    whiterightpointingtriangle    triangleright1
16#25B8        smalltrianglerightsld
16#25B9    whiterightpointingsmalltriangle    smalltriangleright
16#25BA  triagrt  blackrightpointingpointer    SM590000
16#25BB        triagrtopen
16#25BC  triagdn  blackdownpointingtriangle  a77  SV040000
16#25BD    whitedownpointingtriangle    triangleinv
16#25BE        smalltriangleinvsld
16#25BF    whitedownpointingsmalltriangle    smalltriangleinv
16#25C0    blackleftpointingtriangle    triangleleftsld1
16#25C1    whiteleftpointingtriangle    triangleleft1
16#25C2        smalltriangleleftsld
16#25C3    whiteleftpointingsmalltriangle    smalltriangleleft
16#25C4  triaglf  blackleftpointingpointer    SM630000
16#25C5        triaglfopen
16#25C6    blackdiamond  a78  diamondrhombsolid
16#25C7    whitediamond    diamondrhomb
16#25C8    whitediamondcontainingblacksmalldiamond    diamondrhombnested
16#25C9    fisheye
16#25CA  lozenge      SA660000
16#25CB  circle  whitecircle    SM750000
16#25CC    dottedcircle    circledash
16#25CD        circleverthatch
16#25CE    bullseye    bullseye1
16#25CF  H18533  blackcircle  a71  SM580000 bulletaltone circlesolid
16#25D0    circlewithlefthalfblack    circleleftsld
16#25D1    circlewithrighthalfblack    circlerightsld
16#25D2        circlebottomsld
16#25D3        circletopsld
16#25D4        circlenesld
16#25D5        circlenwopen
16#25D6        semicircleleftsld
16#25D7      a81  semicirclelertsld
16#25D8  invbullet  bulletinverse    SM570001
16#25D9  invcircle  whitecircleinverse    SM750002
16#25DA        invsemicircleup
16#25DB        invsemicircledn
16#25DC        nwquadarc
16#25DD        nequadarc
16#25DE        sequadarc
16#25DF        swquadarc
16#25E0        toparc
16#25E1        bottomarc
16#25E2    blacklowerrighttriangle    trianglesesld
16#25E3    blacklowerlefttriangle    triangleswsld
16#25E4    blackupperlefttriangle    tranglenwsld
16#25E5    blackupperrighttriangle    trianglenesld
16#25E6  openbullet  whitebullet
16#25E7        squareleftsld
16#25E8        squarerightsld
16#25E9        squarenwsld
16#25EA        squaresesld
16#25EB        squarevertbisect
16#25EC        triangledot
16#25ED        triangleleftsld
16#25EE        trianglerightsld
16#25EF    largecircle
16#2605    blackstar  a35
16#2606    whitestar
16#260E    telephoneblack  a4
16#260F    whitetelephone
16#261B      a11
16#261C    pointingindexleftwhite
16#261D    pointingindexupwhite
16#261E    pointingindexrightwhite  a12
16#261F    pointingindexdownwhite
16#262F    yinyang
16#263A  smileface  whitesmilingface    SS000000
16#263B  invsmileface  blacksmilingface    SS010000
16#263C  sun  compass    SM690000
16#2640  female  venus    SM290000
16#2641    earth
16#2642  male  mars    SM280000
16#2643        u2643
16#2660  spade  spadesuitblack  a109  SS050000
16#2661    heartsuitwhite
16#2662    diamondsuitwhite
16#2663  club  clubsuitblack  a112  SS040000
16#2664    spadesuitwhite
16#2665  heart  heartsuitblack  a110  SS020000
16#2666  diamond    a111  SS030000
16#2667    clubsuitwhite
16#2668    hotsprings
16#2669    quarternote
16#266A  musicalnote      SM930000
16#266B  musicalnotedbl  eighthnotebeamed    SM910000
16#266C    beamedsixteenthnotes
16#266D    musicflatsign    flat
16#266E        natural
16#266F    musicsharpsign    sharp
16#2701      a1
16#2702      a2
16#2703      a202
16#2704      a3
16#2706      a5
16#2707      a119
16#2708      a118
16#2709      a117
16#270C      a13
16#270D      a14
16#270E      a15
16#270F      a16
16#2710      a105
16#2711      a17
16#2712      a18
16#2713    checkmark  a19
16#2714      a20
16#2715      a21
16#2716      a22
16#2717      a23
16#2718      a24
16#2719      a25
16#271A      a26
16#271B      a27
16#271C      a28
16#271D      a6
16#271E      a7
16#271F      a8
16#2720      a9
16#2721      a10
16#2722      a29
16#2723      a30
16#2724      a31
16#2725      a32
16#2726      a33
16#2727      a34
16#2729      a36
16#272A      a37
16#272B      a38
16#272C      a39
16#272D      a40
16#272E      a41
16#272F      a42
16#2730      a43
16#2731      a44
16#2732      a45
16#2733      a46
16#2734      a47
16#2735      a48
16#2736      a49
16#2737      a50
16#2738      a51
16#2739      a52
16#273A      a53
16#273B      a54
16#273C      a55
16#273D      a56
16#273E      a57
16#273F      a58
16#2740      a59
16#2741      a60
16#2742      a61
16#2743      a62
16#2744      a63
16#2745      a64
16#2746      a65
16#2747      a66
16#2748      a67
16#2749      a68
16#274A      a69
16#274B      a70
16#274D      a72
16#274F      a74
16#2750      a203
16#2751      a75
16#2752      a204
16#2756      a79
16#2758      a82
16#2759      a83
16#275A      a84
16#275B      a97
16#275C      a98
16#275D      a99
16#275E      a100
16#2761      a101
16#2762      a102
16#2763      a103
16#2764      a104
16#2765      a106
16#2766      a107
16#2767      a108
16#2768      a89
16#2769      a90
16#276A      a93
16#276B      a94
16#276C      a91
16#276D      a92
16#276E      a205
16#276F      a85
16#2770      a206
16#2771      a86
16#2772      a87
16#2773      a88
16#2774      a95
16#2775      a96
16#2776      a130
16#2777      a131
16#2778      a132
16#2779      a133
16#277A      a134
16#277B      a135
16#277C      a136
16#277D      a137
16#277E      a138
16#277F      a139
16#2780      a140
16#2781      a141
16#2782      a142
16#2783      a143
16#2784      a144
16#2785      a145
16#2786      a146
16#2787      a147
16#2788      a148
16#2789      a149
16#278A    onecircleinversesansserif  a150
16#278B    twocircleinversesansserif  a151
16#278C    threecircleinversesansserif  a152
16#278D    fourcircleinversesansserif  a153
16#278E    fivecircleinversesansserif  a154
16#278F    sixcircleinversesansserif  a155
16#2790    sevencircleinversesansserif  a156
16#2791    eightcircleinversesansserif  a157
16#2792    ninecircleinversesansserif  a158
16#2793      a159
16#2794      a160
16#2798      a196
16#2799      a165
16#279A      a192
16#279B      a166
16#279C      a167
16#279D      a168
16#279E    arrowrightheavy  a169
16#279F      a170
16#27A0      a171
16#27A1      a172
16#27A2      a173
16#27A3      a162
16#27A4      a174
16#27A5      a175
16#27A6      a176
16#27A7      a177
16#27A8      a178
16#27A9      a179
16#27AA      a193
16#27AB      a180
16#27AC      a199
16#27AD      a181
16#27AE      a200
16#27AF      a182
16#27B1      a201
16#27B2      a183
16#27B3      a184
16#27B4      a197
16#27B5      a185
16#27B6      a194
16#27B7      a198
16#27B8      a186
16#27B9      a195
16#27BA      a187
16#27BB      a188
16#27BC      a189
16#27BD      a190
16#27BE      a191
16#3000    ideographicspace
16#3001    ideographiccomma
16#3002    ideographicperiod
16#3003    dittomark
16#3004    jis
16#3005    ideographiciterationmark
16#3006    ideographicclose
16#3007    ideographiczero
16#3008    anglebracketleft
16#3009    anglebracketright
16#300A    dblanglebracketleft
16#300B    dblanglebracketright
16#300C    cornerbracketleft
16#300D    cornerbracketright
16#300E    whitecornerbracketleft
16#300F    whitecornerbracketright
16#3010    blacklenticularbracketleft
16#3011    blacklenticularbracketright
16#3012    postalmark
16#3013    getamark
16#3014    tortoiseshellbracketleft
16#3015    tortoiseshellbracketright
16#3016    whitelenticularbracketleft
16#3017    whitelenticularbracketright
16#3018    whitetortoiseshellbracketleft
16#3019    whitetortoiseshellbracketright
16#301C    wavedash
16#301D    quotedblprimereversed
16#301E    quotedblprime
16#3020    postalmarkface
16#3021    onehangzhou
16#3022    twohangzhou
16#3023    threehangzhou
16#3024    fourhangzhou
16#3025    fivehangzhou
16#3026    sixhangzhou
16#3027    sevenhangzhou
16#3028    eighthangzhou
16#3029    ninehangzhou
16#3036    circlepostalmark
16#3041    asmallhiragana
16#3042    ahiragana
16#3043    ismallhiragana
16#3044    ihiragana
16#3045    usmallhiragana
16#3046    uhiragana
16#3047    esmallhiragana
16#3048    ehiragana
16#3049    osmallhiragana
16#304A    ohiragana
16#304B    kahiragana
16#304C    gahiragana
16#304D    kihiragana
16#304E    gihiragana
16#304F    kuhiragana
16#3050    guhiragana
16#3051    kehiragana
16#3052    gehiragana
16#3053    kohiragana
16#3054    gohiragana
16#3055    sahiragana
16#3056    zahiragana
16#3057    sihiragana
16#3058    zihiragana
16#3059    suhiragana
16#305A    zuhiragana
16#305B    sehiragana
16#305C    zehiragana
16#305D    sohiragana
16#305E    zohiragana
16#305F    tahiragana
16#3060    dahiragana
16#3061    tihiragana
16#3062    dihiragana
16#3063    tusmallhiragana
16#3064    tuhiragana
16#3065    duhiragana
16#3066    tehiragana
16#3067    dehiragana
16#3068    tohiragana
16#3069    dohiragana
16#306A    nahiragana
16#306B    nihiragana
16#306C    nuhiragana
16#306D    nehiragana
16#306E    nohiragana
16#306F    hahiragana
16#3070    bahiragana
16#3071    pahiragana
16#3072    hihiragana
16#3073    bihiragana
16#3074    pihiragana
16#3075    huhiragana
16#3076    buhiragana
16#3077    puhiragana
16#3078    hehiragana
16#3079    behiragana
16#307A    pehiragana
16#307B    hohiragana
16#307C    bohiragana
16#307D    pohiragana
16#307E    mahiragana
16#307F    mihiragana
16#3080    muhiragana
16#3081    mehiragana
16#3082    mohiragana
16#3083    yasmallhiragana
16#3084    yahiragana
16#3085    yusmallhiragana
16#3086    yuhiragana
16#3087    yosmallhiragana
16#3088    yohiragana
16#3089    rahiragana
16#308A    rihiragana
16#308B    ruhiragana
16#308C    rehiragana
16#308D    rohiragana
16#308E    wasmallhiragana
16#308F    wahiragana
16#3090    wihiragana
16#3091    wehiragana
16#3092    wohiragana
16#3093    nhiragana
16#3094    vuhiragana
16#309B    voicedmarkkana
16#309C    semivoicedmarkkana
16#309D    iterationhiragana
16#309E    voicediterationhiragana
16#30A1    asmallkatakana
16#30A2    akatakana
16#30A3    ismallkatakana
16#30A4    ikatakana
16#30A5    usmallkatakana
16#30A6    ukatakana
16#30A7    esmallkatakana
16#30A8    ekatakana
16#30A9    osmallkatakana
16#30AA    okatakana
16#30AB    kakatakana
16#30AC    gakatakana
16#30AD    kikatakana
16#30AE    gikatakana
16#30AF    kukatakana
16#30B0    gukatakana
16#30B1    kekatakana
16#30B2    gekatakana
16#30B3    kokatakana
16#30B4    gokatakana
16#30B5    sakatakana
16#30B6    zakatakana
16#30B7    sikatakana
16#30B8    zikatakana
16#30B9    sukatakana
16#30BA    zukatakana
16#30BB    sekatakana
16#30BC    zekatakana
16#30BD    sokatakana
16#30BE    zokatakana
16#30BF    takatakana
16#30C0    dakatakana
16#30C1    tikatakana
16#30C2    dikatakana
16#30C3    tusmallkatakana
16#30C4    tukatakana
16#30C5    dukatakana
16#30C6    tekatakana
16#30C7    dekatakana
16#30C8    tokatakana
16#30C9    dokatakana
16#30CA    nakatakana
16#30CB    nikatakana
16#30CC    nukatakana
16#30CD    nekatakana
16#30CE    nokatakana
16#30CF    hakatakana
16#30D0    bakatakana
16#30D1    pakatakana
16#30D2    hikatakana
16#30D3    bikatakana
16#30D4    pikatakana
16#30D5    hukatakana
16#30D6    bukatakana
16#30D7    pukatakana
16#30D8    hekatakana
16#30D9    bekatakana
16#30DA    pekatakana
16#30DB    hokatakana
16#30DC    bokatakana
16#30DD    pokatakana
16#30DE    makatakana
16#30DF    mikatakana
16#30E0    mukatakana
16#30E1    mekatakana
16#30E2    mokatakana
16#30E3    yasmallkatakana
16#30E4    yakatakana
16#30E5    yusmallkatakana
16#30E6    yukatakana
16#30E7    yosmallkatakana
16#30E8    yokatakana
16#30E9    rakatakana
16#30EA    rikatakana
16#30EB    rukatakana
16#30EC    rekatakana
16#30ED    rokatakana
16#30EE    wasmallkatakana
16#30EF    wakatakana
16#30F0    wikatakana
16#30F1    wekatakana
16#30F2    wokatakana
16#30F3    nkatakana
16#30F4    vukatakana
16#30F5    kasmallkatakana
16#30F6    kesmallkatakana
16#30F7    vakatakana
16#30F8    vikatakana
16#30F9    vekatakana
16#30FA    vokatakana
16#30FB    dotkatakana
16#30FC    prolongedkana
16#30FD    iterationkatakana
16#30FE    voicediterationkatakana
16#3105    bbopomofo
16#3106    pbopomofo
16#3107    mbopomofo
16#3108    fbopomofo
16#3109    dbopomofo
16#310A    tbopomofo
16#310B    nbopomofo
16#310C    lbopomofo
16#310D    gbopomofo
16#310E    kbopomofo
16#310F    hbopomofo
16#3110    jbopomofo
16#3111    qbopomofo
16#3112    xbopomofo
16#3113    zhbopomofo
16#3114    chbopomofo
16#3115    shbopomofo
16#3116    rbopomofo
16#3117    zbopomofo
16#3118    cbopomofo
16#3119    sbopomofo
16#311A    abopomofo
16#311B    obopomofo
16#311C    ebopomofo
16#311D    ehbopomofo
